"mz","rt","H2O_Mix1_150_450.mzXML","H2O_Mix10_150_450.mzXML","H2O_Mix11_150_450.mzXML","H2O_Mix12_150_450.mzXML","H2O_Mix2_150_450.mzXML","H2O_Mix3_150_450.mzXML","H2O_Mix4_150_450.mzXML","H2O_Mix5_150_450.mzXML","H2O_Mix6_150_450.mzXML","H2O_Mix7_150_450.mzXML","H2O_Mix8_150_450.mzXML","H2O_Mix9_150_450.mzXML","MeOH_2.mzXML","SampleID","ID","SMILES","Adducts","LOGP","formula","mserror","db"
169.08588663737,3.22801666666667,131238.921875,98287.578125,1860675.125,136660.5625,8807864,84232.6171875,88595.1171875,82900.265625,91667.1015625,80287.3671875,38356324,94883.4375,73824.3984375,11,"605;610","COC1=CC(C)=CC(OC)=C1O;COC1=CC(OC)=CC(OC)=C1","[M+H]+;[M+H]+","0;1.339;1.536","C9H12O3;C9H12O3","-0.252313370716604;-0.252313370716604","STD;STD"
169.08598836263,3.77895,131238.921875,98287.578125,1860675.125,136660.5625,8807864,84232.6171875,88595.1171875,82900.265625,91667.1015625,80287.3671875,251249.078125,94883.4375,73824.3984375,5,"605;610","COC1=CC(C)=CC(OC)=C1O;COC1=CC(OC)=CC(OC)=C1","[M+H]+;[M+H]+","0;1.339;1.536","C9H12O3;C9H12O3","0.349305288715693;0.349305288715693","STD;STD"
170.012054443359,0.473805,115407.2890625,100,46781.86328125,100,11348.6181640625,100,11599.3818359375,100,37535.6484375,100,40485.890625,11660.01171875,1079.73986816406,1,"716","NC(CS(O)(=O)=O)C(O)=O","[M+H]+","0;-4.359","C3H7NO5S","1.62602210716243","STD"
170.081064860026,0.571388333333333,9778.279296875,5791.353515625,31620.865234375,3926.9541015625,5103.0625,17909.29296875,4765.21875,7563.71533203125,4375.94384765625,20720328,27127.796875,13608.7197265625,6121.44775390625,10,"298;727","CC1=C(O)C(CO)=C(CO)C=N1;NC[C@H](O)C1=CC(O)=C(O)C=C1","[M+H]+;[M+H]+","0;-0.855;-0.714","C8H11NO3;C8H11NO3","-0.666387960798742;-0.666387960798742","STD;STD"
171.028879801432,3.03295,19610.46875,11219.7900390625,91194.171875,5835.658203125,14986.87890625,5781468,136565.0625,43791.80859375,23666.58203125,19660.162109375,12400.8720703125,12174.154296875,23058.046875,6,"880;887","OC(=O)C1=C(O)C(O)=C(O)C=C1;OC(=O)C1=CC(O)=C(O)C(O)=C1","[M+H]+;[M+H]+","0;1.125;0.696","C7H6O5;C7H6O5","0.418066422866336;0.418066422866336","STD;STD"
171.137624104818,8.62293333333333,84343.4921875,54785.5,113875.8828125,5934726,61150.8046875,110482.6015625,1389225.5,55662.11328125,115426.7578125,114052.4609375,1798919.125,110991.890625,55930.09765625,4,"194;278;408","CC(C)(O)[C@@H]1CC[C@](C)(O1)C=C;CC\C=C/CCOC(=O)C(C)C;CCCCCC1CCCC(=O)O1","[M+H]+;[M+H]+;[M+H]+","0;1.559;2.759;3.102","C10H18O2;C10H18O2;C10H18O2","-1.99076727736437;-1.99076727736437;-1.99076727736437","STD;STD;STD"
173.060099283854,3.7875,592296.125,13732.9951171875,13914.5537109375,205773.015625,111704.625,7015.07421875,83817.8203125,23051.14453125,12304.294921875,594047.625,24455.240234375,20504.533203125,5769.42919921875,10,"306","CC1=CC(=O)C2=CC=CC=C2C1=O","[M+H]+","0;0.673","C11H8O2","2.22341172570006","STD"
173.059804280599,3.236,26922.46484375,5948.2783203125,27624.494140625,205773.015625,111704.625,10165.0146484375,3434577.25,11188.28515625,13594.6455078125,594047.625,52782.92578125,20504.533203125,11154.7197265625,7,"306","CC1=CC(=O)C2=CC=CC=C2C1=O","[M+H]+","0;0.673","C11H8O2","0.518783661990825","STD"
173.092030843099,0.526425,100,2289.255859375,2116.09106445312,1944.47595214844,2395.3046875,19905.8671875,25627370,100,610870.4375,2355.55810546875,30356.22265625,1421.31420898438,1845.10571289062,7,"770","NCC(=O)N1CCCC1C(O)=O","[M+H]+","0;-3.427","C7H12N2O3","-0.268394222317344","STD"
174.055119832357,1.00394333333333,2771290.75,4589.28125,5325.5869140625,5186.8916015625,18279.4453125,9046.7509765625,34131132,9620.025390625,5981.6611328125,26004.08984375,633031.5625,92278.2890625,5890.47021484375,7,"908","OC(=O)C1=NC2=C(C=CC=C2)C=C1","[M+H]+","0;0.407","C10H7NO2","0.898177296760757","STD"
174.112609863281,2.65355,4233.30322265625,5330874,3833.95922851562,3660.72192382812,5286.08544921875,5574.66748046875,3391.90454101562,58355.67578125,4182.396484375,3731.87133789062,5768.8515625,4589.98046875,3612.04345703125,2,"221","CC(C)C[C@H](NC(C)=O)C(O)=O","[M+H]+","0;1.053","C8H15NO3","0.755047443761336","STD"
175.071278889974,0.509273333333333,100,100,100,100,100,100,100,100,207513.046875,100,5265.8642578125,98948.1875,1804.53454589844,9,"154","CC(=O)N[C@@H](CC(N)=O)C(O)=O","[M+H]+","0;-1.993","C6H10N2O4","-0.359339501062971","STD"
175.086664835612,2.3583,100,48597.87109375,22577.248046875,2182.18041992188,507517.25,186401.84375,2657.705078125,100,6220.55224609375,2164.07788085938,11451.259765625,16351370,1807.81469726562,12,"701","NC(=O)CC1=CNC2=CC=CC=C12","[M+H]+","0;0.0769999999999997","C10H10N2O","0.381728740150431","STD"
175.107737223307,0.537141666666667,100,53991204,1875.02673339844,100,100,100,7675995,100,100,100,13374.1064453125,100,100,2,"215;497","CC(C)C(NC(=O)CN)C(O)=O;CCN=C(O)CCC(N)C(O)=O","[M+H]+;[M+H]+","0;-2.997;-2.718","C7H14N2O3;C7H14N2O3","0.0566697232110545;0.0566697232110545","STD;STD"
175.119094848633,0.45972,100,134650.234375,1768.10131835938,2084.49951171875,3489.1279296875,2346.92651367188,100,3010094.5,6742912.5,4012.37158203125,2139.97631835938,527672.75,4097.0791015625,9,"667;680","N[C@@H](CCCNC(N)=N)C(O)=O;N[C@H](CCCNC(N)=N)C(O)=O","[M+H]+;[M+H]+","0;-2.924;-2.924","C6H14N4O2;C6H14N4O2","0.766042293223631;0.766042293223631","STD;STD"
175.122924804688,1.72805,3939.41845703125,1540.10363769531,2359.5068359375,100,100,100,136649.375,100,1698.49951171875,8896.896484375,1615.24279785156,100,100,7,"524","CN(C)CC1=CNC2=CC=CC=C12","[M+H]+","0;1.129","C11H14N2","-0.335166352786508","STD"
176.070500691732,2.94966666666667,27477.064453125,10798.119140625,4150.53515625,4174.1953125,46036.359375,36649.29296875,97075.40625,67425.4375,78045.3828125,475406.625,73266.7578125,25314622,4079.13256835938,12,"926","OC(=O)CC1=CNC2=C1C=CC=C2","[M+H]+","0;0.805","C10H9NO2","-0.640699421882472","STD"
176.091715494792,0.535813333333333,100,5200.34765625,100,1513.03979492188,44430.40234375,18914.220703125,100,100,1511.64587402344,1875.10412597656,27519.306640625,1827269.625,1735.03295898438,12,"713","NC(CCCCC(O)=O)C(O)=O","[M+H]+","0;-2.633","C7H13NO4","-0.155630308412736","STD"
177.050567626953,0.535813333333333,100,100,100,3727.31469726562,100,100,100,100,2625.8955078125,100,2685.076171875,218312.03125,1990.7265625,12,"703","NC(=O)N[C@@H](CC(O)=O)C(O)=O","[M+H]+","0;-2.143","C5H8N2O5","-0.21899419756038","STD"
177.102254231771,0.650186666666667,100,153288.9375,457900.28125,1491.25744628906,3547632,22407.373046875,749554.6875,128290.25,100,11962.8125,16292.962890625,1306.32824707031,1638.92895507812,5,"542;786","CN1C(CCC1=O)C1=CN=CC=C1;NCCC1=CNC2=CC=C(O)C=C12","[M+H]+;[M+H]+","0;-0.465;0.366","C10H12N2O;C10H12N2O","0.0351874177625211;0.0351874177625211","STD;STD"
