mz,rt,H2O_Mix1_150_450.mzXML,H2O_Mix10_150_450.mzXML,H2O_Mix11_150_450.mzXML,H2O_Mix12_150_450.mzXML,H2O_Mix2_150_450.mzXML,H2O_Mix3_150_450.mzXML,H2O_Mix4_150_450.mzXML,H2O_Mix5_150_450.mzXML,H2O_Mix6_150_450.mzXML,H2O_Mix7_150_450.mzXML,H2O_Mix8_150_450.mzXML,H2O_Mix9_150_450.mzXML,MeOH_2.mzXML,SampleID,ID,SMILES,Adducts,LOGP,formula,mserror,db,rtscore,msscore,allscore,Final
162.076355,0.45972,13131.35547,46184.26563,6715.63623,5066.349121,15668.11523,1782970.625,4387.82959,9102.298828,4824563.5,12801.79102,6569.661621,3896381,4972.411621,9,712,NC(CCCC(O)=O)C(O)=O,[M+H]+,-2.991,C6H11NO4,1.617635521,STD,-0.113574211,-0.65418617,-0.767760381,
162.091568,2.919766667,4921.547363,10686.69336,3034.82373,4161.086426,1311041.625,38852.42188,339484.2813,3237.448486,7940.672852,193687.625,8164813,24129.88672,2853.754883,11,1073,OCCC1=CNC2=CC=CC=C12,[M+H]+,0.725,C10H11NO,1.351045996,STD,-0.002695382,-0.456331321,-0.459026703,
162.1125031,0.475863333,100,100,100,100,100,100,100,100,19620608,2985.574219,1781.197144,100,2854.461182,9,117,C[N+](C)(C)C[C@H](O)CC([O-])=O,[M+H]+,-1.741,C7H15NO3,0.152065742,STD,-0.491733823,-0.005780997,-0.49751482,
163.1116435,5.050016667,68744.03125,72074.84375,78035.64063,538455.75,73105.97656,1389280.875,78514.375,9592553,92647.5625,75337.8125,67001.70313,68269.59375,78191.45313,8,384,CCCCC(=O)C1=CC=CC=C1,[M+H]+,2.635,C11H14O,-0.65370375,STD,-0.608536709,-0.106832148,-0.715368857,
163.1228841,0.588843333,5083.558105,4479.156738,25187102,20813.05469,4459.680664,222621.0156,2479.855957,13618.37891,1778.514526,2514.867432,2046.766235,2075.361816,2159.02124,3,556,CN1CCC[C@H]1C1=CN=CC=C1,[M+H]+,0.274,C10H14N2,-0.609267164,STD,-1.526013152,-0.092801619,-1.618814772,
165.0545959,4.177183333,31613254,925866,909041.3125,601114.5625,432134.5625,667868.5625,345674.9375,457526.4063,837628.9375,1077829,842030.4375,828454.6875,157501.8125,1,865;866;874,OC(=O)\C=C\C1=CC=C(O)C=C1;OC(=O)\C=C\C1=CC=CC(O)=C1;OC(=O)C(=O)CC1=CC=CC=C1,[M+H]+;[M+H]+;[M+H]+,0.751;0.751;0.907,C9H8O3;C9H8O3;C9H8O3,-0.200859199460036;-0.200859199460036;-0.200859199460036,STD;STD;STD,-0.658279402061148;-0.658279402061148;-0.584703514557077,-0.0100861045019316;-0.0100861045019316;-0.0100861045019316,-0.66836550656308;-0.66836550656308;-0.594789619059009,
165.0760345,3.122466667,100,153734.7656,3106.286865,100,4291.227051,100,100,100,4185.375,5368.324219,200762.4219,4529.049316,100,11,106;107;967,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O;C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O;OC[C@@H](O)[C@@H](O)[C@H](O)CC=O,[M+H]+;[M+H]+;[M+H]+,-0.994;-0.994;-2.561,C6H12O5;C6H12O5;C6H12O5,1.67223485080838;1.67223485080838;1.67223485080838,STD;STD;STD,-0.476138238239223;-0.476138238239223;-1.34321994442456,-0.699092349064531;-0.699092349064531;-0.699092349064531,-1.17523058730375;-1.17523058730375;-2.04231229348909,
165.127538,3.941216667,147058.1094,222774.8594,600128.5,148324.1406,51700.24609,41694.80859,42156.75391,97770.63281,42191.17188,58686.60156,38802.21094,5438542.5,37013.23047,12,196,CC(C)(O)CCC1=CC=CC=C1,[M+H]+,2.619,C11H16O,0.835386082,STD,-0.011738804,-0.174467476,-0.18620628,
166.0722961,0.538853333,14233.18457,1817.770264,2035.874146,1685.757446,4890.915527,3270.668701,4055.891113,3790.352051,3226.414795,2853795.5,6777607.5,19768.68164,2505.429932,11,550,CN1C=NC2=C1C(=O)N=C(N)N2,[M+H]+,0.106,C6H7N5O,-0.293591545,STD,-1.477547175,-0.021548999,-1.499096174,
166.0863902,3.101916667,14276.48535,20167.09766,10927.14844,7714.316406,3677007.25,29534.45508,29732.6543,484115.8125,18594.29297,14069.31934,10371.30273,11464.58203,11568.38477,5,508;657,CCOC(=O)C1=CC=C(N)C=C1;N[C@@H](CC1=CC=CC=C1)C(O)=O,[M+H]+;[M+H]+,0.601;-1.575,C9H11NO2;C9H11NO2,0.762117888481868;0.762117888481868,STD;STD,-0.0400655763856629;-0.724816089128788,-0.145205918986015;-0.145205918986015,-0.185271495371678;-0.870022008114803,
